restaurant_id,restaurant_name,address,image_path_02
134,Mì Trộn Park Kim Thang - Lê Đức Thọ,"616/61/40 Đường Lê Đức Thọ, P. 15, Quận Gò Vấp, TP. HCM",images/be_an_vegetarian_cafe__nha_hang_ca_phe_chay__99_nguyen_hue_232.jpg
135,Cà Phê Ông Bầu - 364 Cộng Hòa,"Cổng 5 Etown 3, 364 Cộng Hòa, P. 13, Quận Tân Bình, TP. HCM",images/bibuloustapas_456.jpg
136,Beefsteak Củ Hành Tây - Sư Vạn Hạnh,"391/6 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",images/bibulous__tapas__cocktail_bar_143.jpg
137,Rin Cafe & Trà Sữa,"97 Đường Số 8, Quận 8, TP. HCM",images/big_sushi_world_223.jpg
138,Bánh Ướt Lòng Gà Bảo Thư - Đào Duy Từ,"82 Đào Duy Từ, P. 5, Quận 10, TP. HCM",images/bina__chao_ech_singapore_370.jpg
139,Mì Cay Khuya,"233/18 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",images/bingsu__bingsuya_27.jpg
140,Phở Bò Cầu Dừa,"251 Bến Vân Đồn, P. 5, Quận 4, TP. HCM",images/bingsu__bingsuya_37.jpg
141,Gà rán và Mì Ý - Jollibee - Phan Văn Hớn,"Ground FI Co.op Mart Phan Văn Hớn, 102 Phan Văn Hớn, P. Tân Thới Nhất, Quận 12, TP. HCM",images/binh_an_village_81.jpg
142,Cà Phê Trứng 3T - Điện Biên Phủ,"250 Điện Biên Phủ, P. Võ Thị Sáu, Quận 3, TP. HCM",images/binh_an_village_86.jpg
143,Baoz Dimsum Restaurant - Nguyễn Tri Phương,"88 Nguyễn Tri Phương, P. 7, Quận 5, TP. HCM",images/binh_inh_quan__chao_long__banh_hoi_22.jpg
144,Ốc Thảo - Vĩnh Khánh,"383 Vĩnh Khánh, P. 8, Quận 4, TP. HCM",images/bonjour_resto__beefsteak_pasteur_239.jpg
145,Bánh Mì Kim Dung,"118A Lý Thường Kiệt, P. 7, Quận 10, TP. HCM",images/boomerang_bistro_saigon_110.jpg
146,Trà Sữa ToCoToCo - Sư Vạn Hạnh,"770B Sư Vạn Hạnh, P. 10, Quận 10, TP. HCM",images/boomerang_bistro_saigon_115.jpg
147,BeefSteak - Mì Ý - Salad Cow Express - Sư Vạn Hạnh,"457 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",images/bot_chien_at_thanh_757.jpg
148,Hải Xỉn - Hủ Tiếu Nam Vang,"Hẻm Chợ 200 Xóm Chiếu, P. 15, Quận 4, TP. HCM",images/bot_chien_co_be_449.jpg
